"custID","gender","state","cardholder","balance","numTrans","numIntlTrans","creditLine","fraudRisk"
158,1,19,1,7000,14,0,6,0
206,2,23,1,0,14,0,12,0
256,1,5,1,0,6,0,7,0
530,2,21,1,1017,19,0,6,0
907,2,36,1,6000,100,28,5,0
956,1,19,1,0,12,30,6,0
986,1,48,1,7000,8,1,6,0
1105,1,11,1,0,9,0,12,0
1125,1,49,1,130,33,0,2,0
1138,2,39,1,5635,78,1,5,0
1144,1,32,1,5000,1,0,4,0
1341,2,5,1,0,9,0,5,0
1389,1,20,1,0,10,7,22,0
1442,1,48,1,6000,15,24,5,0
1446,1,25,1,3853,6,0,5,0
1557,2,36,1,0,29,0,9,0
1765,1,32,1,7000,55,0,6,0
1961,1,23,1,8752,36,4,14,0
2218,1,4,1,0,20,6,8,0
2249,2,15,1,10315,18,0,20,0
2456,1,43,1,0,68,0,4,0
2805,2,13,1,1308,12,2,16,0
2904,1,39,1,0,35,0,4,0
3022,2,29,2,3000,23,0,2,0
3030,1,10,1,3249,13,0,9,0
3182,2,34,1,0,27,10,7,0
3595,2,5,1,0,100,0,6,0
3640,2,49,1,5000,100,2,4,0
3851,2,23,1,6000,57,3,5,0
3979,1,46,1,0,15,6,6,0
4009,2,13,1,0,25,1,14,0
4056,2,5,1,3000,24,9,2,0
4073,1,6,1,4000,9,0,3,0
4302,2,15,1,0,4,3,13,0
4457,2,44,1,3000,13,0,2,0
4618,1,22,1,0,27,4,5,0
4786,1,35,1,3000,13,17,2,0
4883,2,44,2,2019,35,0,2,0
5375,2,44,1,6000,18,0,5,0
5585,1,44,1,1952,24,6,7,0
5615,1,39,1,2536,5,0,26,0
5698,2,21,1,1394,99,5,1,0
5872,1,6,1,10271,51,1,12,0
5888,1,23,1,0,9,0,2,0
5965,1,28,1,5232,11,0,11,0
6008,1,41,1,0,20,0,6,0
6037,1,11,1,0,3,0,6,0
6075,1,16,1,8000,3,10,7,0
6243,2,46,1,4000,71,9,3,0
6466,1,43,1,3432,4,0,3,0
6674,1,29,1,3881,76,0,3,0
6709,1,29,1,2074,32,0,20,0
7084,1,29,1,5000,19,0,4,0
7169,1,39,1,0,22,35,3,0
7222,1,24,1,8000,15,2,7,0
7246,2,35,1,16067,8,3,24,0
7282,1,11,1,3887,15,0,18,0
7332,2,44,1,9916,100,0,9,1
7365,1,34,1,4175,41,45,5,0
7536,1,16,1,4068,33,0,5,0
7580,1,5,1,6000,91,0,5,1
7625,1,15,1,6913,16,11,7,0
7709,2,5,1,0,16,1,3,0
7723,2,5,1,2324,100,4,16,1
7747,2,21,1,4855,10,6,20,0
7878,2,44,1,3291,100,0,7,0
7954,2,6,1,3375,100,24,4,1
8082,2,27,1,9000,37,1,8,0
8153,1,39,1,0,15,0,5,0
8310,1,36,1,0,24,2,6,0
8329,2,5,1,2322,13,45,2,0
8452,1,24,1,4132,85,12,7,0
8456,1,44,1,0,9,0,2,0
8539,2,11,1,5832,8,0,9,0
8649,1,4,1,3000,7,0,2,0
8750,2,5,1,6187,20,0,11,0
8882,1,3,1,0,6,0,5,0
8916,1,46,1,7269,60,0,34,0
8974,1,50,1,6000,17,1,5,0
9132,2,43,1,8000,6,0,7,0
9161,1,45,1,0,16,0,3,0
9218,2,51,1,0,35,31,9,0
9267,1,35,1,4000,26,0,3,0
9306,2,38,1,4000,12,0,3,0
9383,1,49,1,14409,20,0,18,0
9412,1,36,1,6093,21,0,7,0
9420,1,36,1,6000,15,0,5,0
9455,1,23,1,8000,10,0,7,0
9735,2,10,1,0,6,5,6,0
9832,1,5,1,4427,9,6,10,0
9833,1,29,1,8498,20,11,16,0
9940,2,11,1,0,1,0,4,0
10138,1,25,1,13524,16,2,20,0
10195,2,10,1,0,15,1,6,0
10264,1,25,1,7000,33,0,6,0
10312,1,11,1,9000,11,0,8,0
10550,2,48,1,4000,9,0,3,0
10568,2,49,1,5000,17,3,4,0
10582,2,35,1,3000,45,12,2,0
10917,1,32,1,2000,8,17,1,0
11179,1,39,1,0,4,0,2,0
11211,1,2,1,10302,15,0,12,0
11378,1,22,1,3000,40,6,2,0
11731,1,5,1,12000,15,4,11,0
11819,2,35,1,3959,9,0,6,0
11875,2,3,1,0,80,0,10,0
11883,1,36,1,10675,7,17,13,0
11976,2,5,1,0,21,20,4,0
12051,1,18,1,4000,82,6,3,0
12065,1,10,1,0,37,33,4,0
12153,2,6,1,0,14,0,6,0
12304,2,5,1,0,42,7,8,0
12306,1,16,1,2608,12,0,7,0
12351,1,35,1,6940,10,0,12,0
12362,2,34,1,0,9,31,13,0
12546,1,15,1,5000,12,0,4,0
12552,2,24,1,0,7,1,2,0
12593,1,20,1,429,34,0,8,0
12606,2,5,1,1039,83,0,7,0
12650,2,44,1,4828,38,6,40,0
12700,1,39,1,0,9,33,5,0
12715,1,5,1,8628,58,60,25,0
12741,1,48,1,0,34,0,5,0
12746,1,26,1,5409,100,22,6,0
12778,1,35,1,0,19,1,3,0
12789,1,5,1,8770,52,49,19,0
12927,2,44,1,722,13,3,15,0
12942,1,49,1,0,45,0,3,0
13000,1,41,1,16444,14,0,52,1
13291,1,17,1,4000,80,0,3,0
13388,1,36,1,3000,91,0,2,0
13451,2,29,1,3000,10,0,2,0
13547,1,10,1,0,85,0,4,0
13804,1,11,1,4000,21,0,3,0
13908,1,17,1,0,100,0,22,0
13966,2,49,1,0,84,0,5,0
14005,1,45,1,7000,8,17,6,0
14026,2,21,1,0,28,0,3,0
14047,2,35,1,5000,37,0,4,0
14149,2,10,1,4000,9,0,3,0
14217,1,21,2,0,21,0,5,0
14408,1,5,1,7632,89,0,8,0
14535,2,16,1,8539,12,8,11,0
14573,1,36,1,395,8,1,5,0
14946,1,12,1,4000,86,15,3,0
14957,1,4,1,3000,55,0,2,0
15039,1,29,1,9000,25,23,8,0
15052,1,37,1,3000,30,3,2,0
15530,2,41,1,0,11,5,8,0
15620,1,10,1,5000,2,6,4,0
