"custID","gender","state","cardholder","balance","numTrans","numIntlTrans","creditLine","fraudRisk"
2002691,1,29,1,4000,71,0,3,0
2002696,1,25,1,5000,3,2,4,0
2002842,1,18,1,4415,100,21,5,0
2002882,1,28,1,0,9,0,4,0
2003486,1,44,1,8692,100,2,9,1
2003516,2,41,1,4000,26,3,3,0
2003607,1,41,1,469,18,7,3,0
2003644,1,30,1,7051,28,0,42,0
2003736,1,10,1,7000,32,6,6,0
2003816,1,11,1,2000,52,0,1,0
2003906,1,10,1,0,40,10,10,0
2003989,1,39,1,3100,11,1,7,0
2004038,1,16,1,6000,38,0,5,0
2004075,1,15,1,4171,5,0,16,0
2004098,2,44,1,5000,9,0,4,0
2004154,1,20,1,12664,39,0,28,1
2004157,1,26,1,4469,8,0,10,0
2004356,1,49,1,3441,13,10,5,0
2004447,1,44,1,0,12,0,14,0
2004510,1,44,1,4423,100,0,6,0
2004559,2,29,1,6445,63,0,10,0
2004728,1,15,1,5000,46,7,4,0
2004788,2,40,1,4000,8,0,3,0
2004828,1,23,1,3000,18,2,2,0
2004897,2,46,1,4000,23,0,3,0
2005097,2,43,1,0,67,12,5,0
2005157,2,18,1,716,69,0,22,0
2005256,1,10,1,3609,12,4,11,0
2005375,1,25,1,4171,21,0,14,0
2005634,1,44,1,4929,42,1,7,0
2005640,2,46,1,9020,25,0,15,0
2005708,1,16,1,3019,3,0,17,0
2006012,1,30,1,1278,15,0,6,0
2006170,2,15,1,3000,8,0,2,0
2006270,1,48,1,1278,13,6,2,0
2006272,1,2,1,4000,12,0,3,0
2006339,1,5,1,1379,14,5,7,0
2006355,1,44,1,4000,66,1,3,0
2006436,1,44,1,2000,66,0,1,0
2006462,2,32,1,5151,29,0,11,0
2006628,1,10,1,0,14,5,5,0
2006652,1,29,1,5000,12,19,4,0
2006975,1,10,1,0,17,0,8,0
2006977,1,49,1,4000,10,0,3,0
2007034,1,35,1,4000,8,15,3,0
2007143,2,3,1,4000,24,4,3,0
2007293,1,48,1,9000,85,0,8,0
2007407,2,44,1,22609,12,9,27,1
2007456,2,15,1,3636,31,0,3,0
2007574,1,35,2,0,18,0,4,0
2007812,2,10,1,2830,69,0,6,0
2008121,1,6,1,0,6,3,13,0
2008204,1,21,1,3000,27,0,2,0
2008314,1,49,1,0,34,0,18,0
2008471,2,46,1,8000,12,0,7,0
2008512,2,5,1,5000,12,9,4,0
2008519,1,48,1,8264,7,0,10,0
2008592,2,15,1,0,26,0,3,0
2008631,2,49,1,5000,41,0,4,0
